city,ghi_day_wh_m2_peak,ghi_day_wh_m2_avg,ghi_day_wh_m2_low,reliability_index
Bandung,6323.561999999998,4941.691455291971,2998.4055000000003,0.47416400756409144
Banyu Wangi,6987.232,5478.010574817518,3548.4085,0.5078418034494919
Bojonegoro,6611.503999999999,5269.441459854014,3836.9515,0.580344729429189
Buleleng,7032.736,5574.27990419708,3602.709,0.5122770142374177
Candipuro,7078.2885,5621.240118613138,3632.186,0.5131446676693102
Denpasar,7032.736,5574.27990419708,3602.709,0.5122770142374177
Gerokgak,6987.232,5478.010574817518,3548.4085,0.5078418034494919
Jakarta,6078.6309999999985,4718.341893248175,3032.1245000000004,0.49881700336802826
Jember,7078.2885,5621.240118613138,3632.186,0.5131446676693102
Jembrana,6987.232,5478.010574817518,3548.4085,0.5078418034494919
Jepara,6684.182999999999,5119.713298357665,2466.7945,0.36904951584958107
Kediri,6652.5525,5185.128129562044,3574.357,0.5372910623403574
Kubu,7032.736,5574.27990419708,3602.709,0.5122770142374177
Malang,7012.202,5563.895328467153,3599.201,0.5132768565423529
Pekalongan,6650.900499999999,5107.894698905109,2524.5945,0.3795868694772987
Probolinggo,6992.333499999999,5563.923038321168,3693.3385000000003,0.5281982760118636
Purworkorto,6348.2505,4954.629452554745,3320.422,0.5230452074945687
Semarang,6684.182999999999,5119.713298357665,2466.7945,0.36904951584958107
Situbondo,6992.333499999999,5563.923038321168,3693.3385000000003,0.5281982760118636
Surabaya,6652.5525,5185.128129562044,3574.357,0.5372910623403574
Tasik,6164.824999999997,4844.3806614963505,3303.0090000000005,0.5357830919774693
Yogyakarta,6462.1669999999995,5086.751856751825,3603.7105,0.557662855200121
cerbon,6462.5165,5065.661989051095,2745.5170000000003,0.4248371358123419
